,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
1,1,9.58,+0.9,Usain BOLT,21 AUG 1986,JAM,1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1356
2,2,9.63,+1.5,Usain BOLT,21 AUG 1986,JAM,1,,"Olympic Stadium, London (GBR)",05 AUG 2012,1337
3,3,9.69,0.0,Usain BOLT,21 AUG 1986,JAM,1,,"National Stadium, Beijing (CHN)",16 AUG 2008,1316
4,3,9.69,+2.0,Tyson GAY,09 AUG 1982,USA,1,,Shanghai (CHN),20 SEP 2009,1316
5,3,9.69,-0.1,Yohan BLAKE,26 DEC 1989,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1316
6,6,9.71,+0.9,Tyson GAY,09 AUG 1982,USA,2,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1308
7,7,9.72,+1.7,Usain BOLT,21 AUG 1986,JAM,1f1,,"Icahn Stadium (Fordham), New York, NY (USA)",31 MAY 2008,1305
8,7,9.72,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1305
9,9,9.74,+1.7,Asafa POWELL,23 NOV 1982,JAM,1h2,,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1298
10,9,9.74,+0.9,Justin GATLIN,10 FEB 1982,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1298
11,11,9.75,+1.1,Yohan BLAKE,26 DEC 1989,JAM,1,,Kingston (JAM),29 JUN 2012,1294
12,11,9.75,+1.5,Yohan BLAKE,26 DEC 1989,JAM,2,,"Olympic Stadium, London (GBR)",05 AUG 2012,1294
13,11,9.75,+0.9,Justin GATLIN,10 FEB 1982,USA,1f1,,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1294
14,11,9.75,+1.4,Justin GATLIN,10 FEB 1982,USA,1f,,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1294
