,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
1,1,9.58,+0.9,Usain BOLT,21 AUG 1986,JAM,1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1356
2,2,9.69,+2.0,Tyson GAY,09 AUG 1982,USA,1,,Shanghai (CHN),20 SEP 2009,1316
3,2,9.69,-0.1,Yohan BLAKE,26 DEC 1989,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1316
4,4,9.72,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1305
5,5,9.74,+0.9,Justin GATLIN,10 FEB 1982,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1298
6,6,9.76,+0.6,Christian COLEMAN,06 MAR 1996,USA,1f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1291
7,7,9.77,+1.5,Trayvon BROMELL,10 JUL 1995,USA,1f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1287
8,8,9.78,+0.9,Nesta CARTER,11 OCT 1985,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1283
9,9,9.79,+0.1,Maurice GREENE,23 JUL 1974,USA,1f3,,Athina (GRE),16 JUN 1999,1280
10,10,9.80,+1.3,Steve MULLINGS,29 NOV 1982,JAM,1,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1276
11,11,9.82,+1.7,Richard THOMPSON,07 JUN 1985,TTO,1f2,,Port-of-Spain (TTO),21 JUN 2014,1269
12,12,9.84,+0.7,Donovan BAILEY,16 DEC 1967,CAN,1,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1262
13,12,9.84,+0.2,Bruny SURIN,12 JUL 1967,CAN,2,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1262
14,12,9.84,+1.2,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1262
