,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
1,1,9.77,1.5,Trayvon BROMELL,10-Jul-95,USA,1f2,,"Ansin Sports Complex, Miramar, FL (USA)",5-Jun-21,1287
2,2,9.8,0.8,Trayvon BROMELL,10-Jul-95,USA,1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1276
3,3,9.84,1.2,Akani SIMBINE,21-Sep-93,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",6-Jul-21,1262
4,4,9.85,1.5,Marvin BRACY,15-Dec-93,USA,2f2,,"Ansin Sports Complex, Miramar, FL (USA)",5-Jun-21,1259
5,4,9.85,0.8,Ronnie BAKER,15-Oct-93,USA,2,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1259
6,6,9.86,0.8,Fred KERLEY,7-May-95,USA,3,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1255
7,7,9.88,1.5,Trayvon BROMELL,10-Jul-95,USA,1,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30-Apr-21,1248
8,7,9.88,1.9,Ronnie BAKER,15-Oct-93,USA,1h4,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1248
9,9,9.89,0.2,Isiah YOUNG,5-Jan-90,USA,1f1,,"National Training Center, Clermont, FL (USA)",30-May-21,1245
10,9,9.89,0.8,Kenneth BEDNAREK,14-Oct-98,USA,4,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1245
11,11,9.9,-0.3,Trayvon BROMELL,10-Jul-95,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1242
12,12,9.91,2,Fred KERLEY,7-May-95,USA,1f1,,"Tropical Park Track, Miami, FL (USA)",24-Apr-21,1238
13,12,9.91,0.8,Micah WILLIAMS,12-Nov-01,USA,5,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1238
14,14,9.92,1.5,Trayvon BROMELL,10-Jul-95,USA,1,,"Irvine, CA (USA)",15-May-21,1234
15,14,9.92,0.7,Fred KERLEY,7-May-95,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1234
16,16,9.93,1.9,Fred KERLEY,7-May-95,USA,2h4,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1231
17,17,9.94,1.4,Ronnie BAKER,15-Oct-93,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",27-Mar-21,1227
18,17,9.94,1.6,Jo'Vaughn MARTIN,,USA,1f2,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",17-Apr-21,1227
19,17,9.94,1.3,Tlotliso Gift LEOTLELA,12-May-98,RSA,1,,"UJ Stadium, Johannesburg (RSA)",14-May-21,1227
20,17,9.94,0.5,Isiah YOUNG,5-Jan-90,USA,1,,"Boston, MA (USA)",23-May-21,1227
21,17,9.94,0.7,Ronnie BAKER,15-Oct-93,USA,2sf2,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1227
22,22,9.95,1.5,Lamont Marcell JACOBS,26-Sep-94,ITA,1h2,,"Centro Sportivo Fontanassa, Savona (ITA)",13-May-21,1224
23,22,9.95,2,Ryota YAMAGATA,10-Jun-92,JPN,1f1,,"Athletic Stadium, Tottori (JPN)",6-Jun-21,1224
24,22,9.95,1.9,Noah LYLES,18-Jul-97,USA,3h4,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1224
25,25,9.96,1.9,Cravon GILLESPIE,31-Jul-96,USA,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1220
26,25,9.96,1.4,Fred KERLEY,7-May-95,USA,1f1,,"Mestský Stadion, Ostrava (CZE)",19-May-21,1220
27,25,9.96,-0.3,Kenneth BEDNAREK,14-Oct-98,USA,2sf1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1221
28,28,9.97,1.5,Benjamin AZAMATI-KWAKU,14-Jan-98,GHA,1h8,,"Mike A. Myers Stadium, Austin, TX (USA)",26-Mar-21,1217
29,28,9.97,1.9,Kyree KING,9-Jul-94,USA,1f2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1217
30,28,9.97,0.7,Noah LYLES,18-Jul-97,USA,3sf2,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1217
31,31,9.98,1.9,Justin GATLIN,10-Feb-82,USA,2f2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1213
32,31,9.98,1.4,Justin GATLIN,10-Feb-82,USA,1f1,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",17-Apr-21,1213
