,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,1,43.85,Randolph ROSS,01 JAN 2001,USA,1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1261
2,2,44.07,Michael NORMAN,03 DEC 1997,USA,1,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1245
3,3,44.27,Michael NORMAN,03 DEC 1997,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1231
4,4,44.30,Noah WILLIAMS,,USA,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1229
5,5,44.35,Michael CHERRY,23 MAR 1995,USA,2,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1225
6,6,44.37,Noah WILLIAMS,,USA,1,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",15 MAY 2021,1224
7,6,44.37,Michael CHERRY,23 MAR 1995,USA,1f3,,"Fort Worth, TX (USA)",18 MAY 2021,1224
8,8,44.40,Michael NORMAN,03 DEC 1997,USA,1f1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1222
9,9,44.44,Bryce DEADMON,26 MAR 1997,USA,2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1219
10,10,44.47,Isaac MAKWALA,24 SEP 1985,BOT,1,,"Stadion Śląski, Chorzów (POL)",20 JUN 2021,1217
11,10,44.47,Steven GARDINER,12 SEP 1995,BAH,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1217
12,12,44.50,Bryce DEADMON,26 MAR 1997,USA,2,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",15 MAY 2021,1215
13,12,44.50,Michael CHERRY,23 MAR 1995,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1215
14,14,44.51,Anthony José ZAMBRANO,17 JAN 1998,COL,1f1,,"Estadio Vallehermoso, Madrid (ESP)",19 JUN 2021,1214
15,15,44.52,Trevor STEWART,20 MAY 1997,USA,1f1,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 APR 2021,1213
16,15,44.52,Steven GARDINER,12 SEP 1995,BAH,1f1,,"The Bahamas National Stadium, Nassau (BAH)",26 JUN 2021,1213
17,17,44.55,Trevor STEWART,20 MAY 1997,USA,1q5,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26 MAY 2021,1211
18,18,44.56,Wayde VAN NIEKERK,15 JUL 1992,RSA,2f1,,"Estadio Vallehermoso, Madrid (ESP)",19 JUN 2021,1211
19,19,44.57,Anthony José ZAMBRANO,17 JAN 1998,COL,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1210
20,19,44.57,Bryce DEADMON,26 MAR 1997,USA,1h1,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",29 MAY 2021,1210
21,21,44.58,Bryce DEADMON,26 MAR 1997,USA,2f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1209
22,21,44.58,Bryce DEADMON,26 MAR 1997,USA,2,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1209
23,23,44.59,Trevor STEWART,20 MAY 1997,USA,1h1,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28 MAY 2021,1208
24,24,44.60,Randolph ROSS,01 JAN 2001,USA,1,,"Irwin Belk Track, Greensboro, NC (USA)",08 MAY 2021,1208
25,24,44.60,Fred KERLEY,07 MAY 1995,USA,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1208
26,26,44.61,Elija GODWIN,01 JUL 1999,USA,3,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",15 MAY 2021,1207
27,26,44.61,Kirani JAMES,01 SEP 1992,GRN,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1207
28,28,44.62,Bryce DEADMON,26 MAR 1997,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1206
29,29,44.63,Randolph ROSS,01 JAN 2001,USA,1q1,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26 MAY 2021,1206
30,29,44.63,Kirani JAMES,01 SEP 1992,GRN,1,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1206
31,31,44.64,Vernon NORWOOD,10 APR 1992,USA,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",01 MAY 2021,1205
32,32,44.65,Isaac MAKWALA,24 SEP 1985,BOT,1h1,,"National Stadium, Gaborone (BOT)",15 MAY 2021,1204
33,32,44.65,Michael NORMAN,03 DEC 1997,USA,3,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1204
34,34,44.67,Michael NORMAN,03 DEC 1997,USA,1,,"Hayward Field, Eugene, OR (USA)",24 APR 2021,1203
35,35,44.69,Randolph ROSS,01 JAN 2001,USA,2f1,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 APR 2021,1201
36,35,44.69,Michael CHERRY,23 MAR 1995,USA,4,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1201
37,37,44.71,Johnnie BLOCKBURGER,12 JUL 2002,USA,1,,"Roy P. Drachman Stadium, Tucson, AZ (USA)",10 APR 2021,1200
38,37,44.71,Steven GARDINER,12 SEP 1995,BAH,1f1,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",17 APR 2021,1200
39,39,44.73,Michael NORMAN,03 DEC 1997,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1199
40,39,44.73,Deon LENDORE,28 OCT 1992,TTO,2,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1199
41,41,44.74,Dwight ST. HILLAIRE,05 DEC 1997,TTO,1f1,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",03 APR 2021,1198
42,41,44.74,Kirani JAMES,01 SEP 1992,GRN,1,,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021,1198
43,41,44.74,Michael CHERRY,23 MAR 1995,USA,1f2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",31 MAY 2021,1198
44,41,44.74,Fred KERLEY,07 MAY 1995,USA,1,,"Blankers-Koen Stadion, Hengelo (NED)",06 JUN 2021,1198
45,41,44.74,Randolph ROSS,01 JAN 2001,USA,3,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1198
46,46,44.75,Trevor STEWART,20 MAY 1997,USA,1h1,,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1197
47,47,44.76,Anthony José ZAMBRANO,17 JAN 1998,COL,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1196
48,48,44.80,Liemarvin BONEVACIA,05 APR 1989,NED,3,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1194
49,49,44.81,Jacory PATTERSON,02 FEB 2000,USA,2f1,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",03 APR 2021,1193
50,49,44.81,Elija GODWIN,01 JUL 1999,USA,1h3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1193
51,51,44.83,Vernon NORWOOD,10 APR 1992,USA,4,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1192
52,52,44.85,Randolph ROSS,01 JAN 2001,USA,2sf2,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1190
53,53,44.86,Michael CHERRY,23 MAR 1995,USA,2f1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1190
54,53,44.86,Randolph ROSS,01 JAN 2001,USA,1h2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28 MAY 2021,1190
55,53,44.86,Michael CHERRY,23 MAR 1995,USA,1h2,,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1190
56,53,44.86,Wilbert LONDON,17 AUG 1997,USA,5,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1190
57,57,44.87,Vernon NORWOOD,10 APR 1992,USA,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1189
58,57,44.87,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1189
59,59,44.88,Kirani JAMES,01 SEP 1992,GRN,1f3,,"GCU Track & Field, Phoenix, AZ (USA)",24 APR 2021,1188
60,60,44.90,Trevor STEWART,20 MAY 1997,USA,4,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1187
61,61,44.91,Anthony José ZAMBRANO,17 JAN 1998,COL,1f1,,Salamanca (ESP),05 JUN 2021,1186
62,62,44.92,Wilbert LONDON,17 AUG 1997,USA,3sf2,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1185
63,62,44.92,Vernon NORWOOD,10 APR 1992,USA,5,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1185
64,64,44.93,Noah WILLIAMS,,USA,3,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1185
65,65,44.94,Elija GODWIN,01 JUL 1999,USA,6,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1184
66,66,44.96,Trevor STEWART,20 MAY 1997,USA,4,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1183
67,66,44.96,Bryce DEADMON,26 MAR 1997,USA,7,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1183
68,68,44.97,Rai BENJAMIN,27 JUL 1997,USA,2,,"Hayward Field, Eugene, OR (USA)",24 APR 2021,1182
69,69,44.99,Liemarvin BONEVACIA,05 APR 1989,NED,1,,"AV Sprint Breda, Breda (NED)",27 JUN 2021,1180
70,70,45.00,Justin ROBINSON,30 MAR 2002,USA,2f2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",31 MAY 2021,1180
71,70,45.00,Wilbert LONDON,17 AUG 1997,USA,8,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1180
72,72,45.01,Alexander OGANDO,03 MAY 2000,DOM,1f1,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1179
73,72,45.01,Liemarvin BONEVACIA,05 APR 1989,NED,1f1,,"Centre sportif Bout-du-Monde, Genève (SUI)",12 JUN 2021,1179
74,74,45.02,Ricky PETRUCCIANI,30 JUN 2000,SUI,1f1,,"Kadrioru staadion, Tallinn (EST)",10 JUL 2021,1178
75,75,45.03,Zakhiti NENE,02 APR 1998,RSA,1,,"UJ Stadium, Johannesburg (RSA)",14 MAY 2021,1178
76,75,45.03,Isaac MAKWALA,24 SEP 1985,BOT,6,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1178
77,77,45.04,Trevor STEWART,20 MAY 1997,USA,2,,"Irwin Belk Track, Greensboro, NC (USA)",08 MAY 2021,1177
78,77,45.04,Deon LENDORE,28 OCT 1992,TTO,3f1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1177
79,77,45.04,Sean BAILEY,15 JUL 1997,JAM,1,,"National Stadium, Kingston (JAM)",27 JUN 2021,1177
80,80,45.05,Trevor STEWART,20 MAY 1997,USA,4sf2,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1176
81,81,45.06,Bryce DEADMON,26 MAR 1997,USA,1h4,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",14 MAY 2021,1176
82,81,45.06,Steven GARDINER,12 SEP 1995,BAH,1,,"Nashville, TN (USA)",06 JUN 2021,1176
83,83,45.07,Jochem DOBBER,08 JUL 1997,NED,2,,"AV Sprint Breda, Breda (NED)",27 JUN 2021,1175
84,84,45.08,Wilbert LONDON,17 AUG 1997,USA,1f2,,"Marietta HS, Marietta, GA (USA)",09 JUL 2021,1174
85,85,45.09,Alexander OGANDO,03 MAY 2000,DOM,1,,"Estadio Luguelín Santos, Santo Domingo (DOM)",27 MAR 2021,1174
86,86,45.10,Elija GODWIN,01 JUL 1999,USA,2sf1,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1173
87,87,45.12,Ryan WILLIE,24 JUN 2002,USA,3f1,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",03 APR 2021,1171
88,87,45.12,Dwight ST. HILLAIRE,05 DEC 1997,TTO,4,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",15 MAY 2021,1171
89,87,45.12,Vernon NORWOOD,10 APR 1992,USA,5sf2,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1171
90,90,45.13,Michael BLUTH,,USA,2h1,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",29 MAY 2021,1171
91,90,45.13,Christopher TAYLOR,01 OCT 1999,JAM,2,,"National Stadium, Kingston (JAM)",27 JUN 2021,1171
92,92,45.14,Jacory PATTERSON,02 FEB 2000,USA,1,,"Paul Derr TF Facility, Raleigh, NC (USA)",15 MAY 2021,1170
93,92,45.14,Karol ZALEWSKI,07 AUG 1993,POL,2,,"Stadion Śląski, Chorzów (POL)",20 JUN 2021,1170
94,94,45.16,Deon LENDORE,28 OCT 1992,TTO,3f2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",31 MAY 2021,1169
95,94,45.16,Deon LENDORE,28 OCT 1992,TTO,h3,,"The Bahamas National Stadium, Nassau (BAH)",25 JUN 2021,1169
96,96,45.17,Vernon NORWOOD,10 APR 1992,USA,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1168
97,96,45.17,Tyler JOHNSON,11 FEB 1998,USA,1f1,,"Jesse Owens Stadium, Columbus, OH (USA)",01 MAY 2021,1168
98,96,45.17,Bryce DEADMON,26 MAR 1997,USA,3sf1,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1168
99,96,45.17,Karayme BARTLEY,10 SEP 1995,JAM,3,,"National Stadium, Kingston (JAM)",27 JUN 2021,1168
100,96,45.17,Jonathan SACOOR,01 SEP 1999,BEL,2f1,,"Kadrioru staadion, Tallinn (EST)",10 JUL 2021,1168
101,,,,,,,,,,
